Year,Revenue (€m),EBITDA (€m),CapEx (€m),D&A (€m),ΔWorking Capital (€m),Free Cash Flow (€m)
2019,4049.0,730.0,250.0,185.0,31.0,480.0
2020,1621.0,-391.0,180.0,210.0,-95.0,11.0
2021,2204.0,825.0,220.0,240.0,30.0,605.0
2022,4224.0,675.0,260.0,300.0,45.0,615.0
2023,5056.0,1003.0,290.0,330.0,50.0,713.0
2024,5606.0,1120.0,320.0,360.0,35.0,800.0
